,score,regime,spread_bp,chg13w,net_liq_bn
2026-01-01,20.0,STRESS,22.00000000000002,-76.22500000000036,5697.3189999999995
2026-01-02,24.99999999999998,STRESS,10.000000000000009,41.05699999999979,5797.6449999999995
2026-01-05,37.49999999999993,TIGHT,5.000000000000027,36.6230000000005,5796.827
2026-01-06,47.49999999999994,BAL,1.000000000000023,23.3720000000003,5800.73
2026-01-07,55.0,BAL,0.0,-5.28400000000056,5772.871999999999
2026-01-08,57.49999999999994,BAL,-0.9999999999999787,-4.519999999999527,5774.371
2026-01-09,57.49999999999994,BAL,-0.9999999999999787,-5.088999999999942,5774.174
2026-01-12,57.49999999999994,BAL,-0.9999999999999787,-5.21100000000024,5774.052
2026-01-13,55.0,BAL,0.0,-5.694000000000415,5774.177
2026-01-14,52.49999999999994,BAL,-0.9999999999999787,17.925000000000182,5799.302
2026-01-15,47.49999999999994,BAL,1.000000000000023,20.621000000000095,5800.522
2026-01-16,50.0,BAL,0.0,18.54399999999987,5801.303
2026-01-19,50.0,BAL,0.0,20.372999999999593,5801.303
2026-01-20,52.49999999999994,BAL,-0.9999999999999787,16.85699999999906,5799.018999999999
2026-01-21,50.00000000000001,BAL,-2.0000000000000018,34.44799999999941,5711.974999999999
2026-01-22,47.49999999999994,BAL,-0.9999999999999787,38.66999999999916,5713.2609999999995
2026-01-23,45.0,BAL,0.0,35.29500000000007,5714.392
2026-01-26,42.49999999999994,TIGHT,1.000000000000023,42.9399999999996,5713.83
2026-01-27,42.49999999999994,TIGHT,1.000000000000023,46.6299999999992,5714.066
2026-01-28,47.49999999999994,BAL,-0.9999999999999787,53.88299999999981,5663.423
2026-01-29,45.0,BAL,0.0,51.79600000000028,5661.674
2026-01-30,37.499999999999936,TIGHT,3.000000000000025,77.65499999999975,5654.897
2026-02-02,34.99999999999999,TIGHT,4.0000000000000036,48.85900000000038,5654.111
2026-02-03,34.99999999999999,TIGHT,4.0000000000000036,50.68000000000029,5662.741
2026-02-04,50.0,BAL,0.0,75.78300000000036,5694.722
2026-02-05,50.0,BAL,0.0,74.38900000000012,5695.388
2026-02-06,52.49999999999994,BAL,-0.9999999999999787,67.17500000000018,5694.025
